global traffic , now partially inundated by , dam
site , is , partially submerged due to dam
it , also inundated with , much of surrounding area
site , is , now submerged
it , also inundated with , much of area
calls , given , current disposition of Turkish authorities
calls , especially given , current disposition of Turkish authorities
site , is , partially submerged due
that , been , removed
calls , continue for , pieces attributable
it , also inundated with , much
that , been removed from , Economist Newspaper 2012
that , been removed illegally from , Turkey
site , is , now submerged due to dam
site , is , now submerged due
calls , given , disposition of Turkish authorities
it , inundated with , much of surrounding area
calls , especially given , current disposition of authorities
site , is , now partially submerged due
that , been removed illegally from , Economist Newspaper 2012
excavation , is in , 1993
These , can , can seen
These , can , can seen in Data section
Zeugma , from , Culture Without Context 7 5-8
mosaics , stolen from , Zeugma
Roman mosaics , stolen from , Zeugma
Roman mosaics , stolen on , Euphrates
mosaics , stolen on , Euphrates
Importance , is in , GAP
Greaves , Journal of , Archaeology
Archaeology , is in , Turkey
Greaves , Archaeology in , Turkey
Kennedy , Towns of , Zeugma
Kennedy , Towns on , Euphrates
Bowling Green State University , has , ancient Roman mosaics
Turkey , launches , new culture war
Turkey , launches , culture war
Economist Newspaper , updated , 19/05/2012 http://www.economist.com/node/21555531/print
