Sucia , is , archaeological
USA , imposed , emergency import restrictions on Cultural Property originating from archaeological region
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from archaeological region of Cara Sucia following request
USA , imposed , emergency import restrictions on Property originating from region under section 303 of Cultural Property Implementation Act
USA , imposed , emergency import restrictions on Cultural Property originating from archaeological region of Cara Sucia under section 303 following request
USA , imposed , emergency import restrictions on Cultural Property originating from region of Cara Sucia
USA , imposed , emergency import restrictions on Property originating under section 303 of Cultural Property Implementation Act following request by Government
USA , imposed , emergency import restrictions on Property originating from archaeological region of Cara Sucia following request by Government
USA , imposed , emergency import restrictions on Cultural Property originating from region of Cara Sucia under section 303 of Cultural Property Implementation Act following request by Government
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from region of Cara Sucia under section 303 of Cultural Property Implementation Act
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from region under section 303 of Cultural Property Implementation Act following request by Government of El Salvador
USA , imposed , emergency import restrictions on Cultural Property originating from region of Cara Sucia following request by Government
USA , imposed , emergency import restrictions on Cultural Property originating from region of Cara Sucia under section 303 of Cultural Property Implementation Act following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Property originating
USA , imposed , emergency import restrictions on Property originating from region under section 303 following request by Government of El Salvador
USA , imposed , emergency import restrictions on Property originating under section 303 of Cultural Property Implementation Act following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from region under section 303 of Cultural Property Implementation Act
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from archaeological region of Cara Sucia following request by Government of El Salvador
USA , imposed , emergency import restrictions on Property originating from region of Cara Sucia following request by Government
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from region of Cara Sucia following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from archaeological region following request by Government of El Salvador
USA , imposed , emergency import restrictions on Property originating from archaeological region following request
USA , imposed , emergency import restrictions on Salvadoran Property originating from region of Cara Sucia
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from archaeological region of Cara Sucia under section 303 of Cultural Property Implementation Act following request by Government
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from archaeological region under section 303 of Cultural Property Implementation Act
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from archaeological region following request by Government
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating following request by Government
USA , imposed , emergency import restrictions on Cultural Property originating under section 303 following request
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from region of Cara Sucia following request by Government
United States , entered into , property
United States , entered into , full property
emergency import restrictions , were extended in , 1993
United States , entered in , 1995
emergency import restrictions , were , extended
United States , entered into , cultural property
United States , entered , El Salvador
United States , entered into , full cultural property
1987 emergency import restrictions , first agreements , 1995 MOU
1987 emergency import restrictions , agreements , 1995 MOU
emergency import restrictions , agreements , 1995 MOU
emergency import restrictions , first agreements , 1995 MOU
FUNDAR , Website of , National Foundation
of Cultural Property Convention , is in , Phyllis Mauch Messenger
http://elmundo.com.sv/trafico-de-piezas-arqueologicas-un-negocio-rentable-en-el-salvador , accessed on , 23 May 2012
Solutions , is in , Troubled Region
Spinden , Notes on , Archaeology of Salvador ' American Anthropologist 17 3
United States Customs Service , Import , Restrictions
United States Customs Service , Import Restrictions on , Archaeological Material from El Salvador
United States Customs Service , Import Restrictions on , Material from El Salvador
United States Customs Service , Import Restrictions on , Archaeological Material
United States Customs Service , Import Restrictions on , Material
