,Type,Entity 1,Relationship,Type.1,Entity2
778,GPE,Cancuén, is ,LOC, Maya
779,GPE,Cancuén, is ,O, major Classic site
780,PERSON,Kistler, Citing ,O, unnamed local sources
781,GPE,Cancuén, is ,O, Classic site
782,GPE,Cancuén, is ,LOC, Classic Maya site
783,ORG,Bonhams, withdrew stele from ,O, sale
784,PERSON,Radner, stele of ,O, Adad-nerari III
785,ORG,Bonhams, withdrew ,O, stele
786,CARDINAL,half, be ,O, owned
787,CARDINAL,half, be owned by ,O, resident
788,ORG,Bonhams, withdrew stele On ,DATE, 31 March 2014
789,CARDINAL,half, be owned by ,GPE, resident of Geneva
790,PERSON,Lamb, victory at ,GPE, posh London auction house
791,CARDINAL,half, was said ,O, owned
792,CARDINAL,half, was ,O, said
793,ORG,Bonhams, withdrew stele from ,DATE, Bailey 2014
794,PERSON,Saih Hamad, been looted on ,O, 14 September 1999
795,ORG,http://www.theartnewspaper.com/articles/Assyrian-stele-withdrawn-from-auction/32304, accessed ,DATE, 17 September 2014
796,PERSON,Saih Hamad, been ,O, looted
797,CARDINAL,half, was said ,GPE, owned by resident of Geneva
798,CARDINAL,half, was said ,O, owned by resident
799,ORG,Bonhams, withdrew stele from ,GPE, Bailey 2014
800,ORG,Metropolitan, reached ,CARDINAL, agreement about return of twenty objects
801,ORG,Hecht, acting as ,O, agent for krater 's owner
802,ORG,Metropolitan, reached agreement On ,DATE, 3 February 2006
803,NORP,Sarrafian, has ,O, father
804,PERSON,http://www.artnet.com/magazine/features/hoving/hoving7-2-01.asp, accessed ,O, 19 July 2012
805,ORG,Hecht, acting on ,O, ten percent commission
806,ORG,Metropolitan, reached ,CARDINAL, agreement with Italy about return of twenty objects including Euphronios krater
807,ORG,Metropolitan, received ,O, nearly $ 2.3 million
808,ORG,Metropolitan, has ,O, director Philipe de Montebello
809,NORP,Sarrafian, had referred to ,O, krater
810,ORG,Hecht, attached ,O, it
811,ORG,Metropolitan, reached ,CARDINAL, agreement about return of twenty objects including Euphronios krater
812,ORG,New York Times, announced ,O, krater 's acquisition
813,NORP,Sarrafian, of ,O, ownership
814,ORG,Metropolitan, reached ,GPE, agreement with Italy about return of twenty objects
815,ORG,Metropolitan, reached ,O, agreement
816,ORG,Hecht, has ,O, apartment
817,ORG,Metropolitan, restored ,GPE, ownership of krater to Italy
818,ORG,Hecht, bought krater from ,NORP, Medici
819,ORG,Hecht, claimed ,O, be acting as agent for krater 's owner
820,NORP,Sarrafian, largely because had referred in ,O, various statements
821,ORG,Met, has ,O, vase
822,GPE,Povoledo, comes ,O, home to hero 's welcome New York Times
823,ORG,Hecht, had simply taken ,O, provenance
824,ORG,Hecht, alerted Metropolitan Museum In ,DATE, February 1972
825,ORG,Metropolitan, reached ,GPE, agreement with Italy
826,ORG,Hecht, alerted Metropolitan Museum to ,O, existence of krater
827,ORG,Newman, subsequently signed ,O, affidavit
828,ORG,New York Times, announced ,DATE, krater 's acquisition with cover story for its Sunday magazine
829,NORP,Sarrafian, comprising ,O, hatbox
830,ORG,Hecht, acting as ,O, agent
831,ORG,Hecht, claimed ,O, be acting as agent
832,ORG,Hecht, supplied ,CARDINAL, two documents of provenance
833,PERSON,Giacomo Medici, illegal export of ,O, goods
834,PERSON,Giacomo Medici, conspiracy to ,O, traffic
835,ORG,Hecht, claimed ,O, be acting on ten percent commission as agent for krater 's owner
836,NORP,Sarrafian, largely because had referred to ,O, krater
837,NORP,Sarrafian, because had referred in ,O, statements
838,GPE,Zurich, view ,O, krater
839,NORP,Sarrafian, comprising ,O, hatbox of fragments
840,ORG,Metropolitan, 's director is ,PERSON, Thomas Hoving
841,ORG,Hecht, had simply taken provenance from ,O, Sarrafian/Bunker Hunt krater
842,ORG,Metropolitan, reached ,ORG, agreement with Italy about return of twenty objects including Euphronios krater
843,NORP,Sarrafian, did indeed possess ,ORG, Euphronios krater
844,ORG,Hecht, had taken ,O, provenance
845,ORG,Hecht, bought ,O, krater
846,NORP,Medici, is ,NORP, Italian
847,ORG,Hecht, claimed ,O, be acting on ten percent commission
848,ORG,Metropolitan, ultimately received ,O, nearly $ 2.3 million
849,NORP,Sarrafian, did possess ,ORG, Euphronios krater
850,ORG,Metropolitan, has ,NORP, Curator of Greek Art
851,NORP,Sarrafian, had referred in ,O, various statements
852,ORG,Metropolitan, reached ,GPE, agreement with Italy about return
853,ORG,Hecht, had taken provenance from ,O, Sarrafian/Bunker Hunt krater
854,ORG,Metropolitan, reached ,CARDINAL, agreement with Italy about return of twenty objects
855,ORG,Metropolitan, restored ,O, ownership
856,GPE,Povoledo, comes ,O, home
857,ORG,Hecht, alerted Metropolitan Museum with ,O, letter to Dietrich von Bothmer
858,ORG,Metropolitan, has ,O, director at time
859,GPE,Rome, in Giulia is ,DATE, Povoledo 2008a
860,ORG,Metropolitan, buy ,O, krater
861,ORG,Carabinieri, raided ,ORG, Hecht 's apartment
862,ORG,Hecht, claimed ,O, be acting
863,ORG,Metropolitan, send ,O, lawyers
864,ORG,Metropolitan, reached ,ORG, agreement about return of twenty objects including Euphronios krater
865,ORG,Hecht, alerted Metropolitan Museum to ,O, existence
866,ORG,Metropolitan, received ,O, $ 2.3 million
867,ORG,Metropolitan, has ,O, legal team
868,PERSON,Giacomo Medici, export of ,O, goods
869,ORG,Metropolitan, buy krater for ,O, $ 1 million
870,NORP,Sarrafian, because had referred in ,O, various statements
871,GPE,Povoledo, comes ,O, home to hero 's New York Times
872,ORG,Newman, signed ,O, affidavit
873,GPE,Rome, in Giulia is ,GPE, Povoledo 2008a
874,ORG,Hecht, alerted ,ORG, Metropolitan Museum
875,PERSON,Thomas, gems of ,O, New York City
876,PERSON,Van Gelder, Odyssey of ,O, vase
877,NORP,Medici, is in ,O, turn
878,ORG,Metropolitan, buy krater from ,ORG, Hecht
879,NORP,Sarrafian, had referred in ,O, statements
880,ORG,Metropolitan, restored ownership In ,DATE, 2006
881,NORP,Sarrafian, had ,O, had killed in car crash
882,ORG,Hecht, alerted Metropolitan Museum with ,O, letter
883,ORG,Metropolitan, reached ,GPE, agreement with Italy about return of twenty objects including Euphronios krater
884,NORP,Sarrafian, had ,O, had killed
885,ORG,Hecht, claimed ,O, be acting on ten percent commission as agent
886,ORG,Hecht, supplied ,CARDINAL, two documents
887,ORG,New York Times, announced ,O, krater 's acquisition with cover story
888,NORP,Sarrafian, because had referred to ,O, krater
889,PERCENT,84 percent, is in ,O, excess of $ 1 million
890,NORP,Medici, in ,GPE, Geneva storerooms
891,ORG,Metropolitan, ultimately received ,O, $ 2.3 million
892,ORG,Metropolitan, restored ,O, ownership of krater
893,NORP,Sarrafian, largely because had referred in ,O, statements
894,NORP,Sarrafian, had ,DATE, had killed in car crash in 1977
895,ORG,Metropolitan, agreed In ,DATE, August 1972
896,ORG,Metropolitan, reached ,O, agreement about return
897,GPE,Ecuador, has garnered ,O, amount
898,ORG,Bruhns, writing ,PERSON, Hammond
899,GPE,Ecuador, in ,O, major cities
900,GPE,Ecuador, has garnered ,O, smaller amount of international research focus
901,GPE,Valdivia, had ,GPE, contact with Jomon Period Japan
902,GPE,Ecuador, has garnered ,O, amount of research focus
903,PERSON,Damp, of ,O, paper
904,GPE,Ecuador, in ,O, coastal lowlands
905,GPE,Ecuador, has garnered ,O, relatively smaller amount of international research focus
906,ORG,Bruhns, encountered ,O, locals
907,ORG,Bruhns, visiting ,PERSON, Hammond
908,ORG,Bruhns, encountered ,PERSON, Hammond
909,ORG,Bruhns, were writing in ,O, 1980s
910,GPE,Ecuador, Compared to ,GPE, studied cultures of neighbouring Peru
911,GPE,Ecuador, has ,O, western lowlands
912,GPE,Ecuador, Compared to ,GPE, cultures of neighbouring Peru
913,GPE,Ecuador, has garnered ,O, amount of international research focus
914,GPE,Ecuador, Compared to ,GPE, well studied cultures of neighbouring Peru
915,GPE,Ecuador, Compared to ,O, cultures
916,GPE,Ecuador, has garnered ,O, smaller amount
917,GPE,Ecuador, Compared to ,O, studied cultures
918,ORG,Bruhns, visiting ,O, site
919,GPE,Valdivia, had ,GPE, direct contact with Jomon Period Japan
920,ORG,Bruhns, Faking ,O, Andes
921,GPE,Ecuador, has garnered ,O, relatively smaller amount
922,ORG,Bruhns, assert ,PERSON, Hammond 1983
923,ORG,Bruhns, report ,PERSON, Hammond
924,GPE,Ecuador, Compared to ,O, well studied cultures
925,ORG,Bruhns, Faking ,O, Ancient Andes
926,GPE,Valdivia, had ,O, contact
927,ORG,Bruhns, visiting site in ,DATE, 1980
928,GPE,Valdivia, had ,O, direct contact
929,ORG,Bruhns, assert ,DATE, Hammond 1983
930,ORG,Bruhns, visiting ,GPE, site of Valdivia
931,GPE,Valdivia, has ,O, pottery sequence
932,GPE,Ecuador, has garnered ,O, smaller amount of research focus
933,GPE,Ecuador, has garnered ,O, relatively smaller amount of research focus
934,ORG,Sáenz, take ,O, antiquities
935,ORG,Meyer, calls ,O, George Alpha
936,PERSON,Coe, was ,O, contacted
937,PERSON,Ekholm, examined ,O, mask
938,PERSON,Marhenke, FAMSI ' ,ORG, Grolier Codex
939,ORG,Sáenz, wrote ,O, cheque for higher amount of mask
940,GPE,Dumbarton Oaks, Website of ,O, Dumbarton Oaks Research Library
941,ORG,Sáenz, wrote ,O, cheque for amount of mask
942,ORG,Sáenz, wrote ,O, post-dated cheque for amount of mask
943,ORG,Sáenz, wrote ,O, cheque for higher amount
944,ORG,Sáenz, showed ,O, mask
945,PERSON,George Alpha, identified here as ,O, Alphonse Jax
946,ORG,Sáenz, wrote ,O, cheque for amount
947,PERSON,Gonzáles, called ,CARDINAL, three times
948,PERSON,Ekholm, examined mask under ,O, microscope
949,PERSON,Coe, Breaking ,O, New York
950,PERSON,Coe, Breaking ,LOC, Maya Code
951,ORG,Sáenz, put stop purchase order Based on ,O, Franco 's opinion
952,ORG,Sáenz, wrote ,O, post-dated cheque for amount
953,ORG,Sáenz, take flight to ,GPE, Villahermosa
954,ORG,Sáenz, wrote ,O, post-dated cheque
955,ORG,Sáenz, showed mask to ,O, José Luis Franco
956,ORG,Sáenz, wrote ,O, post-dated cheque for higher amount
957,ORG,Meyer, calls ,O, George Alpha identified
958,ORG,Sáenz, wrote ,O, cheque
959,ORG,Meyer, calls ,O, George Alpha identified here as Alphonse Jax
960,ORG,Sáenz, take ,O, flight
961,ORG,Meyer, calls ,O, George Alpha identified as Alphonse Jax
962,PERSON,George Alpha, identified as ,O, Alphonse Jax
963,ORG,Sáenz, take ,ORDINAL, first flight
964,ORG,Sáenz, wrote ,O, post-dated cheque for higher amount of mask
965,ORG,Sáenz, allegedly put stop purchase order Based on ,O, Franco 's opinion
966,ORG,Meyer, calls ,O, George Alpha identified here
967,PERSON,Ekholm, has ,O, declaration
968,ORG,Meyer, states ,O, saying
969,ORG,Sáenz, take back ,O, antiquities
970,ORG,Sáenz, take flight to ,ORG, Tabasco
971,GPE,New Zealand, 's efforts is ,O, process
972,PERSON,Te Herekiekie Herewini, has noted ,O, change
973,PERSON,Te Herekiekie Herewini, head at ,O, Te Papa
974,PERSON,Cook, during ,ORDINAL, first voyage to New Zealand
975,ORG,Te Papa, museum of ,O, New Zealand
976,PERSON,Te Herekiekie Herewini, head of ,O, repatriation team
977,PERSON,Te Herekiekie Herewini, has noted ,O, change in attitude concerning return
978,PERSON,Cook, 's voyage is ,CARDINAL, 2
979,GPE,New Zealand, to voyage is ,CARDINAL, 2
980,PERSON,Te Herekiekie Herewini, has noted ,O, change in attitude
981,GPE,New Zealand, of ,O, repatriation efforts
982,GPE,New Zealand, during ,O, Musket Wars
983,PERSON,Te Herekiekie Herewini, has noted ,O, change in attitude concerning return of Toi moko
984,PERSON,Hollinshead, had ,O, arrangement
985,PERSON,Fell, eventually bringing ,O, stela
986,PERSON,Fell, drove to ,O, New York City
987,PERSON,Machaquilá, is ,WORK_OF_ART, Maya site located in part of Guatemala 's Petén department
988,PERSON,Machaquilá Stela 2, exhibited for ,GPE, sale in Florida
989,PERSON,Hollinshead, had ,PERSON, prior arrangement with Alamilla for procurement of looted
990,PERSON,Fell, put ,O, stela
991,PERSON,Fell, piece ,PERSON, Dwyer
992,GPE,Miami, is in ,O, boat concealed by shipment of shrimp
993,PERSON,Machaquilá, is ,LOC, Maya site located in part of Guatemala 's Petén department
994,PERSON,Hollinshead, had ,PERSON, prior arrangement with Alamilla for procurement
995,PERSON,La Porte, Machaquila from ,O, Regional Geographic Perspective
996,PERSON,Hollinshead, was brought in ,GPE, Florida
997,PERSON,Machaquilá Stela 2, exhibited for ,O, sale
998,PERSON,Machaquilá, is ,O, site located in part
999,PERSON,Fell, has ,O, cousin Harry Brown
1000,PERSON,Hollinshead, was brought in ,GPE, Once Florida
1001,PERSON,Graham, was ,O, told
1002,PERSON,Machaquilá, is ,GPE, site located in isolated part of Guatemala 's Petén department
1003,PERSON,Hollinshead, had arrangement According to ,O, indictment
1004,PERSON,Graham, recorded ,O, presence
1005,PERSON,Hollinshead, was ,O, on-hand
1006,PERSON,Machaquilá, was ,O, discovered
1007,PERSON,Fell, put ,PERSON, Dwyer
1008,PERSON,Hollinshead, had ,PERSON, arrangement with Alamilla for procurement
1009,PERSON,Hollinshead, had ,O, arrangement for procurement
1010,PERSON,Machaquilá, is ,O, site located in isolated part
1011,PERSON,Machaquilá, is ,GPE, site located in part of Guatemala 's Petén department
1012,PERSON,Machaquilá, is ,WORK_OF_ART, Maya site located in isolated part of Guatemala 's Petén department
1013,PERSON,Graham, asked friend as ,O, potential buyer
1014,PERSON,Hollinshead, had ,PERSON, arrangement with Alamilla
1015,PERSON,Hollinshead, had ,O, prior arrangement for procurement
1016,PERSON,Fell, also received ,O, sentence
1017,PERSON,Fell, bought ,PERSON, Dwyer
1018,PERSON,Hollinshead, had ,PERSON, prior arrangement with Alamilla
1019,PERSON,Graham, recorded ,O, presence of stelas
1020,PERSON,Machaquilá, is ,GPE, Maya site located in isolated part of Guatemala 's Petén department
1021,PERSON,Bryan R., Stelae of ,PERSON, Machaquilá
1022,PERSON,Machaquilá, is ,WORK_OF_ART, site located in isolated part of Guatemala 's Petén department
1023,PERSON,Machaquilá, was ,O, Thus discovered
1024,PERSON,Graham, asked friend as ,O, potential buyer interested
1025,PERSON,Fell, continued ,PERSON, Dwyer
1026,PERSON,Hollinshead, was ,GPE, on-hand in Belize during smuggling process
1027,PERSON,Machaquilá, is ,LOC, Maya
1028,PERSON,Hollinshead, were ,O, found
1029,PERSON,Fell, were discussing ,O, piece
1030,PERSON,Machaquilá, is ,O, located
1031,PERSON,Ted Wiener, financed ,PERSON, Hollinshead 's purchase of stela
1032,PERSON,Machaquilá, is ,LOC, Maya site located in part
1033,PERSON,Machaquilá Stela 2, been ,O, looted
1034,PERSON,Graham, asked friend as ,LOC, potential buyer interested in Maya stelas
1035,PERSON,Hollinshead, were found On ,DATE, 14 March 1973
1036,PERSON,Fell, bringing ,PERSON, Dwyer
1037,PERSON,Graham, asked ,O, friend of his pose
1038,PERSON,Graham, asked ,O, friend
1039,PERSON,Fell, also received ,O, suspended sentence
1040,PERSON,Fell, in ,GPE, fish-packing plant in Belize City
1041,PERSON,Fell, were discussing piece with ,O, her
1042,PERSON,Fell, continued ,O, their drive
1043,PERSON,Ted Wiener, financed ,PERSON, Hollinshead 's purchase
1044,PERSON,Machaquilá, is ,O, site
1045,PERSON,Hollinshead, had ,PERSON, arrangement with Alamilla for procurement of looted
1046,PERSON,Fell, eventually bringing ,PERSON, Dwyer
1047,PERSON,Machaquilá, is ,GPE, Maya site located in part of Guatemala 's Petén department
1048,PERSON,Hollinshead, found ,PERSON, Fell
1049,PERSON,Graham, asked friend as ,O, potential buyer interested in stelas
1050,PERSON,Hollinshead, had ,O, prior arrangement
1051,PERSON,Machaquilá, is ,LOC, Maya site located in isolated part of Guatemala 's Petén department
1052,PERSON,Machaquilá, is ,LOC, Maya site located
1053,PERSON,Hollinshead, restore ,O, piece
1054,PERSON,Hollinshead, had ,O, prior arrangement for procurement of looted
1055,PERSON,Fell, put stela in ,O, it
1056,PERSON,Machaquilá, is ,LOC, Maya site
1057,PERSON,Hollinshead, was ,O, brought
1058,GPE,Guatemala, of ,WORK_OF_ART, Petén department
1059,GPE,North Carolina, is in ,O, attempt sell
1060,PERSON,Machaquilá, is ,LOC, Maya site located in isolated part
1061,PERSON,Ian Graham, inform ,O, him
1062,PERSON,Hollinshead, has ,O, purchase of stela
1063,PERSON,Hollinshead, has ,O, seized records
1064,PERSON,Hollinshead, was on-hand in ,GPE, Belize
1065,PERSON,Hollinshead, was on-hand during ,O, smuggling process
1066,PERSON,Machaquilá, is ,WORK_OF_ART, site located in part of Guatemala 's Petén department
1067,PERSON,Hollinshead, had ,O, arrangement for procurement of looted
1068,PERSON,Machaquilá, is ,O, site located
1069,PERSON,Fell, received ,O, sentence
1070,PERSON,Fell, bringing ,O, stela
1071,PERSON,Fell, drove ,PERSON, Dwyer
1072,PERSON,Fell, received ,O, suspended sentence
1073,GPE,Cancuén, is ,PERSON, Classic Maya site
1074,GPE,Cancuén, at ,O, Mesoweb Reports http://www.mesoweb.com/reports/cancuen_new.html
1075,GPE,Cancuén, of ,O, stone monuments
1076,GPE,Antiquities, in Trading is ,O, New York Times
1077,PERSON,Photographs, were taken in ,O, effort
1078,ORG,Archaeologist, has ,PERSON, partnership with Maya villagers
1079,GPE,Cancuén, from ,O, Mesoweb Reports http://www.mesoweb.com/reports/cancuen_altar.html
1080,PERSON,Photographs, were taken of ,O, ballcourt marker
1081,GPE,Cancuén, is ,PERSON, Maya
1082,GPE,Cancuén, is ,O, major Classic site
1083,GPE,Cancuén, is ,O, Classic site
1084,PERSON,Zender, Discoveries at ,GPE, Cancuén ' Mesoweb Reports http://www.mesoweb.com/reports/cancuen_new.html
1085,DATE,three years, is in ,O, prison
1086,GPE,Guatemala, in ,O, Exploration
1087,GPE,Cancuén, is ,O, major
1088,PERSON,Photographs, were ,O, taken of ballcourt marker in effort
1089,PERSON,Zender, Marker from ,GPE, Cancuén ' Mesoweb Reports http://www.mesoweb.com/reports/cancuen_altar.html
1090,PERSON,Zender, accessed ,DATE, 30 April 2012
1091,DATE,1981, before Cancuén is ,GPE, Guatemala
1092,ORG,Morley, Inscriptions of ,O, Peten Volume 5
1093,PERSON,Zender, accessed ,O, 21 July 2020
1094,PERSON,Photographs, were ,O, taken
1095,GPE,Cancuén, is ,PERSON, major Classic Maya site
1096,ORG,ASI, clear ,O, scattered debris beneath parts
1097,ORG,ASI, lodged ,O, report of crime
1098,ORG,ASI, clear ,PERSON, scattered debris beneath visible parts of Gadgach
1099,ORG,ASI, clear ,PERSON, debris beneath parts of Gadgach
1100,ORG,ASI, clear ,O, debris
1101,ORG,ASI, lodged ,O, report
1102,ORG,ASI, clear ,O, scattered debris beneath visible parts
1103,GPE,France, to ambassador is ,DATE, Mankodi 2016
1104,ORG,ASI, clear ,PERSON, debris beneath visible parts of Gadgach
1105,ORG,ASI, clear ,O, debris beneath visible parts
1106,ORG,ASI, clear ,PERSON, scattered debris beneath parts of Gadgach
1107,PERSON,Mr Rajan Mathai, ambassador to ,GPE, France
1108,GPE,Atru, has ,O, Amorous Couples
1109,ORG,ASI, clear ,O, debris beneath parts
1110,GPE,India, has ,GPE, ambassador to France
1111,ORG,Interpol, issued ,O, alert for missing maithunas
1112,ORG,ASI, report of ,O, crime
1113,ORG,ASI, clear ,O, scattered debris
1114,ORG,ASI, report of ,O, crime with police
1115,ORG,ASI, decided In ,DATE, 2007
1116,GPE,India, 's ambassador is ,DATE, Mankodi 2016
1117,ORG,ASI, lodged ,O, report of crime with police
1118,PERSON,John L. Gatling, instructed ,O, all of employees
1119,PERSON,Graham, reaching ,O, then Director
1120,CARDINAL,dozens, represent ,O, loss to patrimony
1121,PERSON,Graham, caught ,O, Director
1122,CARDINAL,dozens, represent ,O, loss in general
1123,CARDINAL,dozens, represent ,GPE, loss to patrimony of Guatemala in general
1124,CARDINAL,dozens, represent ,GPE, loss to cultural patrimony of Guatemala
1125,PERSON,Graham, reaching ,PERSON, Director of Prehispanic Monuments Rafael Morales
1126,ORG,Sun Oil Company, of employee is ,O, 1
1127,PERSON,Graham, caught ,PERSON, Director of Prehispanic Monuments Rafael Morales
1128,CARDINAL,dozens, represent ,O, loss to patrimony in general
1129,PERSON,Graham, took ,O, photographs of tombs
1130,CARDINAL,dozens, loss in ,O, general
1131,PERSON,John L. Gatling, instructed ,O, all his employees
1132,PERSON,Graham, reaching ,O, Director
1133,PERSON,Graham, caught ,PERSON, then Director of Prehispanic Monuments Rafael Morales
1134,CARDINAL,dozens, loss to ,GPE, patrimony of Guatemala
1135,PERSON,Pech, apparently told ,O, Gatling about Río Azul
1136,CARDINAL,dozens, great loss to ,O, cultural patrimony
1137,PERSON,Pech, told ,O, Gatling
1138,CARDINAL,dozens, great loss in ,O, general
1139,PERSON,Graham, took ,O, photographs
1140,CARDINAL,dozens, represent ,GPE, loss to cultural patrimony of Guatemala in general
1141,CARDINAL,dozens, loss to ,O, patrimony
1142,PERSON,John L. Gatling, instructed ,O, all employees
1143,CARDINAL,dozens, represent ,O, loss to cultural patrimony
1144,PERSON,Pech, apparently told ,O, Gatling
1145,PERSON,Pech, told ,O, Gatling about Río Azul
1146,CARDINAL,dozens, great loss to ,GPE, cultural patrimony of Guatemala
1147,PERSON,Graham, took ,O, photographs of empty tombs
1148,PERSON,Graham, reaching ,PERSON, then Director of Prehispanic Monuments Rafael Morales
1149,PERSON,Graham, caught ,O, looters
1150,PERSON,Trinidad Pech, employee of ,O, Sun Oil Company
1151,CARDINAL,dozens, represent ,O, loss to cultural patrimony in general
1152,CARDINAL,dozens, loss to ,GPE, cultural patrimony of Guatemala
1153,CARDINAL,dozens, great loss to ,O, patrimony
1154,CARDINAL,dozens, great loss to ,GPE, patrimony of Guatemala
1155,PERSON,John L. Gatling, instructed ,O, all of his employees
1156,PERSON,Graham, reaching ,O, site
1157,PERSON,Graham, caught looters in ,O, act
1158,PERSON,Graham, took ,PERSON, Morales
1159,CARDINAL,dozens, represent ,O, loss
1160,CARDINAL,dozens, loss to ,O, cultural patrimony
1161,PERSON,Graham, caught ,O, then Director
1162,CARDINAL,dozens, represent ,GPE, loss to patrimony of Guatemala
1163,ORG,Goodman, Nonetheless told New York Times in ,NORP, had charge of pre-Columbian objects at auction house
1164,PERSON,Edwards, claimed As ,O, part of negotiated plea deal for sentencing for his false declarations to US Customs
1165,ORG,Goodman, Nonetheless told New York Times in ,DATE, had charge of objects at auction house for decade
1166,PERSON,Edwards, keep ,PERSON, Patterson
1167,PERSON,Edwards, claimed As ,O, part of negotiated plea deal for reduced sentencing for his false declarations
1168,ORG,Goodman, Nonetheless told New York Times in ,NORP, had charge of pre-Columbian objects
1169,PERSON,Edwards, claimed As ,O, part of plea deal for sentencing for his admitted false declarations
1170,ORG,Goodman, Nonetheless told New York Times in ,O, had charge of objects
1171,ORG,Goodman, Nonetheless told New York Times in ,NORP, had charge of pre-Columbian objects at major auction house
1172,PERSON,Patterson, was well known figure in ,O, antiquities world
1173,GPE,Antiquities, in Trading is ,O, New York Times
1174,ORG,Goodman, told New York Times in ,DATE, had charge of objects at auction house for decade
1175,ORG,Goodman, Nonetheless told New York Times in ,DATE, had charge of objects at major auction house for decade
1176,ORG,Goodman, told New York Times in ,O, had charge of objects
1177,PERSON,Patterson, was known figure in ,O, antiquities world
1178,ORG,Goodman, told New York Times in ,NORP, had charge of pre-Columbian objects at major auction house
1179,ORG,Goodman, told New York Times in ,NORP, had charge of pre-Columbian objects at auction house for decade
1180,PERSON,Val Edwards, provided ,O, authorities
1181,PERSON,Patterson, asked about ,O, allegations
1182,PERSON,Edwards, claimed As ,O, part of negotiated plea deal
1183,PERSON,Edwards, claimed As ,O, part of negotiated plea deal for sentencing
1184,DATE,decade, of ,O, worth of trafficking in Latin American cultural property
1185,PERSON,Edwards, claimed As ,O, part of negotiated plea deal for reduced sentencing
1186,ORG,Goodman, told New York Times in ,DATE, had charge of objects at major auction house for decade
1187,PERSON,Edwards, keep Patterson out of ,O, New York Times
1188,ORG,Goodman, Nonetheless told New York Times in ,NORP, had charge of pre-Columbian objects at auction house for decade
1189,PERSON,Edwards, claimed As ,O, part of negotiated plea deal for sentencing for his false declarations
1190,PERSON,Edwards, claimed As ,O, part of plea deal for reduced sentencing for his false declarations
1191,ORG,Goodman, told New York Times in ,O, had charge of objects at major auction house
1192,ORG,Goodman, told New York Times in ,DATE, had charge of pre-Columbian objects at auction house for decade
1193,PERSON,Edwards, claimed As ,O, part
1194,PERSON,Patterson, was ,O, known figure
1195,ORG,Goodman, Nonetheless told New York Times in ,NORP, had charge of pre-Columbian objects at major auction house for decade
1196,PERSON,Patterson, asked about ,O, allegations made
1197,PERSON,Patterson, was ,O, figure
1198,ORG,Goodman, Nonetheless told New York Times in ,O, had charge of objects at major auction house
1199,PERSON,Edwards, claimed As ,O, part of negotiated plea deal for reduced sentencing for his admitted false declarations
1200,ORG,Goodman, Nonetheless told New York Times in ,DATE, had charge of pre-Columbian objects at auction house for decade
1201,ORG,Goodman, Nonetheless told New York Times in ,O, had charge of objects at auction house
1202,ORG,Goodman, Nonetheless told New York Times in ,O, had charge at auction house
1203,ORG,Goodman, Nonetheless told New York Times in ,DATE, had charge at major auction house for decade
1204,PERSON,Edwards, claimed As ,O, part of plea deal
1205,ORG,Goodman, Nonetheless told New York Times in ,O, had charge
1206,PERSON,Edwards, claimed As ,O, part of plea deal for sentencing for his admitted false declarations to US Customs
1207,PERSON,Patterson, was ,O, well known figure
1208,PERSON,Patterson, stated through ,O, his lawyer
1209,PERSON,Edwards, claimed As ,O, part of plea deal for reduced sentencing
1210,ORG,Goodman, told New York Times in ,NORP, had charge of pre-Columbian objects at major auction house for decade
1211,PERSON,Patterson, has ,O, lawyer
1212,PERSON,Patterson, was ,O, known
1213,PERSON,Edwards, claimed As ,O, part of plea deal for reduced sentencing for his admitted false declarations to US Customs
1214,ORG,Goodman, told New York Times in ,O, had charge of objects at auction house
1215,PERSON,Patterson, was figure in ,O, antiquities world
1216,ORG,Goodman, told New York Times in ,O, had charge at auction house
1217,ORG,Goodman, Nonetheless told New York Times in ,DATE, had charge at auction house for decade
1218,ORG,Goodman, told New York Times in ,O, had charge at major auction house
1219,ORG,Goodman, told New York Times in ,O, had charge
1220,ORG,Goodman, told New York Times in ,DATE, had charge at major auction house for decade
1221,PERSON,Patterson, asked about ,PERSON, allegations made by Edwards
1222,ORG,Goodman, Nonetheless told New York Times in ,DATE, had charge of pre-Columbian objects at major auction house for decade
1223,PERSON,Edwards, claimed As ,O, part of plea deal for sentencing
1224,ORG,Goodman, told New York Times in ,DATE, had charge at auction house for decade
1225,ORG,Goodman, Nonetheless told New York Times in ,O, had charge at major auction house
1226,PERSON,Edwards, claimed As ,O, part of negotiated plea deal for reduced sentencing for his false declarations to US Customs
1227,PERSON,Edwards, claimed As ,O, part of plea deal for sentencing for his false declarations to US Customs
1228,PERSON,Edwards, claimed As ,O, part of negotiated plea deal for sentencing for his admitted false declarations to US Customs
1229,PERSON,Edwards, claimed As ,O, part of negotiated plea deal for reduced sentencing for his admitted false declarations to US Customs
1230,PERSON,Edwards, claimed As ,O, part of plea deal for sentencing for his false declarations
1231,ORG,Goodman, told New York Times in ,DATE, had charge of pre-Columbian objects at major auction house for decade
1232,ORG,Goodman, told New York Times in ,NORP, had charge of pre-Columbian objects at auction house
1233,ORG,Goodman, told New York Times in ,NORP, had charge of pre-Columbian objects
1234,PERSON,Edwards, claimed As ,O, part of plea deal for reduced sentencing for his admitted false declarations
1235,PERSON,Edwards, claimed As ,O, part of negotiated plea deal for sentencing for his admitted false declarations
1236,PERSON,Edwards, claimed As ,O, part of plea deal for reduced sentencing for his false declarations to US Customs
